x	4	142	143	144	145	146	147	148	149	150	151		232.2
0	232.2	194.9	164.8	218.2	221.8	224.4	312	311	286.5	467.6	477.1		238
1	238	187	190	175.5	213.5	220	272.7	280.8	246.5	367	439.4		206.2
2	206.2	185	187.1	164	195	199.6	230.3	234.4	270.2	311.7	403.7		280.3
3	280.3	217.2	226.4	214.5	181.9	229	197.2	262.3	315.4	325.3	425.5		293.2
4	293.2	189.9	182.3	213.3	158	203.6	185.2	233.2	332.7	336.8	334.7		308.3
5	308.3	211.2	159.4	223	228.4	213.7	163.9	228.5	361.2	293.8	301.7		341
6	341	274	176.6	224.5	239.6	234.2	212.7	247.4	345	344	328.3		326.2
7	326.2	261.1	219.4	206.2	220	208.9	234.6	289.7	285.2	357.8	377.4		295.4
8	295.4	231.1	311.5	204.7	283.9	250.2	300	303.3	302.1	384.2	401.8		378.1
9	378.1	270.1	295.8	242.7	270.1	276.8	325.1	358.2	373	461	493		405.3
10	405.3	273.3	255.1	271.2	237.1	266.8	327.6	328.2	403.5	479.5	452.4		410.8
11	410.8	313.4	313.6	273.7	241.9	262.2	317.2	364.1	457	484.1	430.3		429.2
12	429.2	321.1	332	262.9	275	327.8	334.5	352.5	453.3	446.9	445		491.2
13	491.2	368.9	372.1	290.5	283.8	329.7	352.8	364.4	453.9	491.1	463.2		511.5
14	511.5	357.6	325.8	287.7	247.6	315	344.3	338.7	417.9	471.6	469.8		511.6
15	511.6	354.2	309.4	255.3	256.1	275.1	362.6	377.6	387.2	532.1	543.9		433.3
16	433.3	357.7	272.8	284.9	254.2	247.6	340.8	387.1	425.1	508.6	543.9		417.3
17	417.3	309.7	241.6	245.5	287.5	256.9	323.9	390.2	410.8	483.1	501.1		403.2
18	403.2	308.4	284.3	270.8	287.3	286.5	307.2	365.8	425.6	389.3	503.5		367.1
19	367.1	297.6	261.6	223.4	214	285.6	268.4	316.5	386.8	410.7	503.2		357.1
20	357.1	259.5	244.4	232.8	204.3	258.6	323.3	272.5	320.4	340	443.4		360.3
21	360.3	277.2	218.4	256.3	252.5	255.4	259.2	228	347.5	329.7	403.3		360.5
22	360.5	287.7	235.2	245.8	258.2	234.3	282.7	302	328	336.8	435.6		364.9
23	364.9	265.1	220.2	287.7	233.2	261	312.9	328.1	296.4	350.4	436.5		317.1
24	317.1	217	205.6	269.4	226.4	235.1	288.4	296.5	260.6	285.2	347.5		365.5
25	365.5	270.7	246.7	286.2	244.4	221.7	271.4	313.1	287.1	344.9	377.3		339.8
26	339.8	263.9	262.4	249.1	236.7	232.6	261.2	284.4	276.5	322.1	335.9		337
27	337	308.6	293	234.5	265	292.1	260.9	317.6	302.3	351.1	399.7		297.7
28	297.7	310.3	282.9	237.1	235.3	289.7	305.6	339.1	325.7	354.3	440.1		343.6
29	343.6	324.1	264.5	266.2	223.2	277.2	321.9	306.6	376.5	352.4	425.6		422.8
